,id,feature,交房时间,产权年限,优惠折扣,占地面积,参考单价,售楼地址,在售户型,地上车位数,地下车位数,容  积  率,工程进度,建筑类型,建筑面积,开  发  商,投  资  商,最低首付,最新开盘,楼层状况,楼盘地址,楼盘总价,物  业  费,物业公司,环线配置,绿  化  率,装修标准,规划用户,车  位  数,车  位  比,销售情况
0,当代万国府MOMΛ,"['今年交房', '项目在建', '装修交付', '品牌开发商', '人车分流', '公园', '学校', '银行', '南北通透', '大户型']",2019-12-30,住宅 70年 别墅 70年,暂无数据,48207m²,住宅待定,佛山市南海区金融高新区海八路与一环交汇处(中控大厦旁) 南海金融高新区海八路与一环交汇处(中控大厦旁),4室户型(5)，5室户型(1),暂无数据,1200,"住宅:3,别墅:3",在建中，竣工时间：2017-12-30,住宅:高层 别墅:叠加别墅,198232m²,暂无数据,佛山当代绿色置业有限公司,别墅 120万（首付比例：30%),2018-11-09,8栋31-48层的高层、超高层住宅以及8栋叠墅,[南海-千灯湖]海八东路7号,别墅400-700万元/套,住宅:2.99元/平米/月,第一物业服务有限公司,暂无数据,30%,暂无数据,1100户,1200个,1:1.1,在售
1,广佛新世界花园洋房,"['项目在建', '装修交付', '大平层', '品牌开发商', '大型社区', '厨卫全明', '大户型', '双卫生间', '双阳台', '主卧套房']",2020-06-30,住宅 70年,暂无数据,3000000m²,住宅16500元/㎡,佛山市南海区高尔夫路333号广佛新世界广佛之心展览馆,2室户型(1)，3室户型(4)，4室户型(1),暂无数据,暂无数据,住宅:0.8,在建中，竣工时间：2018-12-31,住宅:小高层 花园洋房,2000000m²,佛山大浩湖房地产发展有限公司,新世界中国地产,住宅 19.8万（首付比例：30%),2019-04-30,9层小高层,[南海-狮山]高尔夫路333号(佛山西站旁),住宅66-277万元/套,住宅:3.2元/平米/月,广州锦日物业服务有限公司,暂无数据,60%,暂无数据,8000户,8000个,1:1,在售
2,中交雅居乐剑桥郡,"['项目在建', '装修交付', '品牌开发商', '大型社区', '车位充足', '人车分流', '南北通透', '厨卫全明', '大户型', '双卫生间']",2021-05-31,住宅 70年,暂无数据,10957m²,住宅15000元/㎡,广东省佛山市顺德区乐从镇新桂路与创富三路交汇处东北侧,3室户型(3)，4室户型(2),151,1376,住宅:2.8,在建中，竣工时间：2020-12-31,住宅:高层,418718m²,佛山中交房地产开发有限公司、佛山香颂置业有限公司,暂无数据,住宅 43.5万（首付比例：30%),2019-01-12,规划28栋中高层洋房，19-24层高,[顺德-乐从]佛山新城南,住宅145-155万元/套,住宅:3元/平米/月,雅居乐雅生活服务股份有限公司顺德分公司,暂无数据,30%,暂无数据,2628户,2230个,1:0.8,在售
3,鸿安花园,"['今年交房', '项目在建', '大型社区', '车位充足', '人车分流', '购物中心', '医院', '学校', '银行', '便利店']",11座预计2020年中交房,住宅 70年,暂无数据,120000m²,住宅8800-10200元/㎡,佛山市三水区西南西青大道21号（北江小学旁）,3室户型(13)，4室户型(4),暂无数据,暂无数据,住宅:3.8,在建中，竣工时间：2017-12-31,住宅:高层,600000m²,鸿安房地产开发有限公司,佛山市三水鸿安房地产开发有限公司,住宅 24.3万（首付比例：30%),2019-01-26,32层,[三水-西南]西青大道23号,住宅81-108万元/套,住宅:2元/平米/月,鸿安物业,暂无数据,33%,暂无数据,3852户,1269个,1:0.3,在售
4,佛奥湾,"['装修交付', '大平层', '品牌开发商', '大型社区', '车位充足', '购物中心', '学校', '银行', '便利店', '配套纯熟']",2019-09-30,住宅 70年,暂无数据,133400m²,住宅13750元/㎡起,佛山市顺德区乐从镇乐从大道东B268号,2室户型(2)，3室户型(7)，4室户型(2)，5室户型(1),暂无数据,550,住宅:4,已竣工，交房时间：2014-12-30,住宅:小高层 高层,660000m²,佛山市奥园置业投资有限公司,佛山市奥园置业投资有限公司,住宅 50.7万（首付比例：30%),2017-12-19,楼高39层，2梯4户或2梯6户设计,[顺德-乐从]乐从大道东B268号,住宅169万元/套起,住宅:3元/平米/月,佛山市佛奥物业管理服务公司,暂无数据,34%,暂无数据,2000户 (总共 2000 户 当期 300 户),550个(2864个地下停车位，296个地上停车位，汽车位配比是1：1),1:0.3,在售
5,华远远洋·海蓝城,"['低单价', '项目在建', '品牌开发商', '大型社区', '南北通透', '三房朝南', '厨卫全明', '大户型', '大阳台', '双卫生间']",2020-12-31,住宅 70年,暂无数据,82036m²,住宅13000元/㎡,佛山市三水区三水新城 映海路（华中师大附中旁）,3室户型(3)，4室户型(2),暂无数据,暂无数据,住宅:2.7,在建中，竣工时间：2019-12-31,住宅:高层,296136m²,佛山市华信致远房地产开发有限公司,华远地产,住宅 35.4万（首付比例：30%),2019-04-06,楼高18-33层,[三水-三水新城]三水新城 映海路（华中师大附中旁）,住宅118-150万元/套,住宅:2.28元/平米/月,北京中原华夏物业管理有限公司,暂无数据,35%,暂无数据,2126户,2165个,1:1,在售
6,观景豪园,"['今年交房', '项目在建', '装修交付', '大型社区', '人车分流', '银行', '便利店', '厨卫全明', '大户型', '双卫生间']",2020-12-31,住宅 70年 商业 40年,暂无数据,66109m²,"住宅11000元/㎡(单价范围 11000-11600元/㎡), 商业待定",三水区西南贤兴路与兴达路交汇处,3室户型(11)，4室户型(5)，5室户型(4),暂无数据,暂无数据,"住宅:3.5,商业:3.5",在建中，竣工时间：2018-11-30,住宅:高层 商业 高层,300472m²,佛山市三水区海景蓝湾房地产发展有限公司,暂无数据,住宅 30.3万（首付比例：30%),2019-03-02,高层,[三水-西南]兴达路11号,住宅101-194万元/套,住宅:2.28元/平米/月 商业:3.8元/平米/月,汇源恒通物业管理公司,暂无数据,35%,暂无数据,1940户,1952个,1:1,在售
7,世茂望德,"['项目在建', '品牌开发商', '大型社区', '车位充足', '人车分流', '公园', '厨卫全明', '复式', '大阳台', '双卫生间']",2021-12-31,住宅 70年,暂无数据,55008m²,住宅23000元/㎡,佛山市禅城区华祥路南侧（半月岛湿地公园旁）,3室户型(2)，4室户型(1),暂无数据,暂无数据,住宅:3.5,在建中，竣工时间：2019-12-31,住宅:高层,259536m²,佛山市新纪元置业有限公司,世茂地产,住宅 66万（首付比例：30%),2019-03-30,楼高33层，2梯6户设计；楼高32层，2梯2户/2梯4户设计,[禅城-奇槎]华祥路南侧（半月岛湿地公园旁）,住宅220-239万元/套,住宅:2.75元/平米/月,世茂天成物业服务集团有限公司,暂无数据,30%,暂无数据,1758户,1615个,1:0.9,在售
8,瀚洋居,"['项目在建', '车位充足', '购物中心', '银行', '便利店', '厨卫全明', '大户型', '双卫生间', '今年交房', '人气楼盘']",2019-10-31,住宅 70年,暂无数据,28856m²,住宅8080-8400元/㎡,佛山市三水区西南街道锦欣路2号,3室户型(10),暂无数据,300,住宅:2.49,在建中，竣工时间：2017-12-30,住宅:高层,91524m²,瀚洋房地产开发有限公司,佛山市三水区瀚洋房地产有限公司,住宅 10.8万（首付比例：20%),2018-10-01,25层,[三水-西南]锦欣路2号,住宅54-100万元/套,住宅:1.9元/平米/月,新前景物业,暂无数据,25%,暂无数据,374户,300个,1:0.8,在售
9,颐安灝景湾,"['项目在建', '装修交付', '品牌开发商', '大型社区', '南北通透', '厨卫全明', '大户型', '双卫生间', '双阳台', '主卧套房']",预计2020年6月交房,住宅 70年,暂无数据,110000m²,住宅15000元/㎡,佛山市顺德区容桂街道容里居委会建丰路以西、昌明西路以东,3室户型(12)，4室户型(14),暂无数据,暂无数据,住宅:3,在建中，竣工时间：2020-01-30,住宅:高层,350000m²,佛山市钜创房地产开发有限公司,深圳市颐安投资集团有限公司,住宅 47.1万（首付比例：30%),2019-03-07,高层,[顺德-容桂]容里居委会建丰路以西、昌明西路以东,住宅157-213万元/套,住宅:2.98-3.5元/平米/月,深圳市颐安物业服务有限公司顺德分公司,暂无数据,35%,暂无数据,2852户,3528个,1:1.24,在售
